EmpleadoID,Nombre,Área,Puesto,Turno,FechaIngreso
82,Empleado_82,Perforación,Ingeniero,Tarde,2021-04-30
83,Empleado_83,Administración,Operario,Tarde,2019-05-15
84,Empleado_84,Administración,Supervisor,Tarde,2015-01-05
85,Empleado_85,Perforación,Supervisor,Tarde,2018-01-31
86,Empleado_86,Perforación,Técnico,Mañana,2018-05-04
87,Empleado_87,Perforación,Analista,Noche,2017-02-12
88,Empleado_88,Perforación,Operario,Tarde,2017-05-26
89,Empleado_89,Logística,Operario,Noche,2017-09-18
90,Empleado_90,Producción,Ingeniero,Noche,2015-02-16
91,Empleado_91,Producción,Supervisor,Tarde,2022-12-24
92,Empleado_92,Perforación,Analista,Mañana,2022-11-10
93,Empleado_93,Producción,Técnico,Tarde,2022-05-27
94,Empleado_94,Producción,Supervisor,Mañana,2015-09-26
95,Empleado_95,Perforación,Técnico,Noche,2016-01-05
96,Empleado_96,Producción,Ingeniero,Mañana,2016-09-27
97,Empleado_97,Administración,Ingeniero,Mañana,2018-02-03
98,Empleado_98,Mantenimiento,Operario,Mañana,2019-08-21
99,Empleado_99,Mantenimiento,Analista,Noche,2019-08-10
100,Empleado_100,Perforación,Técnico,Noche,2016-10-18
